timestamp,Fp1,Fp2,F3,Fz,F4,Cz,Pz,Oz
1214718.3174148658,-35388.266,-73140.34,4421.0205,-15256.186,-42013.797,-42832.113,-50371.137,-21260.457
1214718.3214148604,-35386.312,-73141.89,4422.038,-15254.069,-42017.254,-42832.48,-50372.76,-21259.686
1214718.3254148553,-35383.586,-73152.914,4423.584,-15253.459,-42014.61,-42831.992,-50371.22,-21263.592
1214718.3294148499,-35388.062,-73136.07,4423.625,-15255.005,-42014.445,-42834.066,-50371.582,-21267.334
1214718.3334148447,-35390.586,-73135.54,4422.567,-15255.941,-42016.277,-42833.133,-50370.2,-21252.97
1214718.3374148393,-35391.24,-73144.86,4422.9736,-15258.667,-42019.207,-42833.293,-50370.117,-21258.504
1214718.341414834,-35395.836,-73146.484,4424.0317,-15257.609,-42021.363,-42835.246,-50374.188,-21266.154
1214718.3454148287,-35395.875,-73142.984,4423.625,-15256.104,-42019.41,-42835.938,-50378.094,-21273.072
1214718.3494148233,-35395.875,-73140.42,4422.119,-15255.575,-42019.207,-42833.09,-50377.77,-21272.055
1214718.353414818,-35401.043,-73145.23,4425.985,-15259.033,-42016.074,-42832.766,-50373.293,-21257.203
1214718.3574148128,-35392.496,-73138.02,4430.7456,-15257.202,-42012.168,-42827.92,-50371.91,-21262.371
1214718.3614148074,-35390.87,-73132.65,4431.885,-15256.308,-42008.098,-42825.156,-50371.22,-21267.13
1214718.3654148022,-35395.387,-73140.016,4429.077,-15256.999,-42010.945,-42827.477,-50371.992,-21274.496
1214718.3694147968,-35398.4,-73142.58,4424.6016,-15259.685,-42015.26,-42830.04,-50370.973,-21273.275
1214718.3734147914,-35398.074,-73140.55,4423.259,-15262.126,-42015.26,-42828.535,-50366.293,-21267.334
1214718.3774147863,-35393.35,-73135.26,4425.7812,-15261.068,-42014.406,-42828.74,-50361.94,-21259.156
1214718.3814147809,-35395.67,-73132.0,4428.3857,-15260.132,-42012.086,-42826.375,-50360.477,-21252.28
1214718.3854147757,-35401.082,-73132.29,4426.9614,-15261.3125,-42014.61,-42826.54,-50361.29,-21253.703
1214718.3894147703,-35398.64,-73130.945,4427.368,-15260.254,-42010.094,-42828.535,-50361.777,-21257.895
1214718.393414765,-35399.863,-73131.63,4427.6123,-15258.83,-42010.742,-42825.36,-50358.727,-21250.732
1214718.3974147597,-35404.34,-73140.625,4425.171,-15259.399,-42013.59,-42823.652,-50355.184,-21242.758
1214718.4014147543,-35406.94,-73142.91,4421.0205,-15258.749,-42015.87,-42822.715,-50357.465,-21242.188
1214718.4054147492,-35409.383,-73146.81,4417.7656,-15258.667,-42017.78,-42824.42,-50363.12,-21254.03
1214718.4094147438,-35410.117,-73148.56,4419.1895,-15259.359,-42013.348,-42826.863,-50367.8,-21270.875
1214718.4134147384,-35409.305,-73146.2,4421.3867,-15260.824,-42010.5,-42826.375,-50368.734,-21262.166
1214718.4174147332,-35407.594,-73140.95,4421.1426,-15259.888,-42009.24,-42824.06,-50366.496,-21243.49
1214718.4214147278,-35406.047,-73139.69,4424.8047,-15256.063,-42014.12,-42820.07,-50366.496,-21247.07
