timestamp,Fp1,Fp2,F3,Fz,F4,Cz,Pz,Oz
968956.6876804284,-80704.43,-66266.195,-20570.598,23472.861,-49231.242,-21745.89,-25337.688,-39045.94
968956.6916804251,-80705.2,-66268.76,-20568.889,23506.797,-49215.617,-21743.775,-25331.463,-39029.297
968956.6956804218,-80697.31,-66263.47,-20561.97,23543.621,-49201.094,-21743.896,-25327.516,-39017.62
968956.6996804184,-80693.445,-66256.35,-20554.12,23533.041,-49207.684,-21747.275,-25327.598,-39025.72
968956.703680415,-80691.49,-66251.586,-20550.578,23502.117,-49221.07,-21753.094,-25325.36,-39013.918
968956.7076804116,-80687.22,-66252.12,-20547.81,23494.59,-49211.67,-21758.994,-25325.48,-39006.836
968956.7116804083,-80687.42,-66252.36,-20549.236,23526.084,-49200.523,-21757.406,-25323.527,-39006.31
968956.715680405,-80693.81,-66256.02,-20549.275,23543.457,-49198.49,-21751.465,-25320.477,-39004.07
968956.7196804016,-80699.914,-66259.28,-20553.996,23505.9,-49213.34,-21748.008,-25323.242,-39003.99
968956.7236803983,-80701.87,-66259.16,-20558.635,23468.75,-49228.07,-21745.078,-25322.754,-39003.38
968956.727680395,-80698.41,-66259.195,-20561.727,23475.342,-49220.418,-21742.432,-25321.738,-38999.066
968956.7316803916,-80701.13,-66262.375,-20563.191,23514.242,-49210.37,-21739.258,-25322.145,-38997.03
968956.7356803883,-80702.96,-66264.484,-20561.482,23539.877,-49202.35,-21736.94,-25322.348,-39004.52
968956.739680385,-80703.086,-66260.7,-20558.553,23523.764,-49211.836,-21739.787,-25324.79,-39008.465
968956.7436803816,-80700.93,-66260.22,-20554.89,23487.875,-49228.395,-21746.95,-25329.834,-39028.445
968956.7476803783,-80696.86,-66257.695,-20551.514,23482.992,-49224.938,-21753.379,-25331.787,-39021.527
968956.7516803748,-80695.4,-66257.61,-20548.055,23522.828,-49209.84,-21754.436,-25335.166,-39021.973
968956.7556803715,-80702.234,-66263.59,-20547.975,23544.8,-49204.875,-21753.135,-25338.42,-39020.67
968956.7596803682,-80711.02,-66267.13,-20548.748,23526.123,-49218.953,-21750.896,-25342.408,-39022.38
968956.7636803648,-80715.21,-66265.22,-20556.438,23474.326,-49243.164,-21748.78,-25342.082,-39015.098
968956.7676803615,-80719.24,-66269.33,-20562.664,23464.6,-49240.805,-21746.99,-25340.658,-39012.9
968956.7716803582,-80716.39,-66272.055,-20561.361,23497.967,-49227.582,-21743.408,-25343.059,-39025.39
968956.7756803548,-80719.77,-66274.5,-20560.67,23519.125,-49226.36,-21739.625,-25346.111,-39042.523
968956.7796803515,-80725.38,-66280.44,-20561.117,23496.176,-49233.277,-21739.91,-25347.78,-39031.008
968956.7836803482,-80716.63,-66273.766,-20555.135,23456.787,-49251.465,-21742.92,-25344.2,-39022.586
968956.7876803448,-80705.41,-66264.53,-20551.27,23466.92,-49237.67,-21748.332,-25341.879,-39024.496
968956.7916803415,-80703.29,-66264.0,-20548.584,23509.848,-49221.273,-21751.426,-25342.082,-39024.54
968956.795680338,-80710.33,-66266.73,-20547.607,23522.502,-49213.625,-21751.506,-25345.42,-39016.4
968956.7996803347,-80713.99,-66271.41,-20551.799,23495.81,-49224.367,-21750.57,-25347.697,-39014.73
968956.8036803314,-80716.92,-66270.266,-20555.502,23446.9,-49231.406,-21748.74,-25349.447,-39032.35
968956.807680328,-80716.92,-66268.39,-20556.926,23448.08,-49228.8,-21745.77,-25346.559,-39020.754
968956.8116803247,-80719.32,-66272.09,-20558.229,23487.916,-49213.22,-21742.758,-25348.674,-39031.13
968956.8156803214,-80719.61,-66270.47,-20554.566,23511.11,-49202.516,-21739.463,-25349.773,-39037.64
968956.819680318,-80715.21,-66267.09,-20549.56,23492.229,-49213.42,-21738.73,-25348.43,-39023.926
968956.8236803147,-80710.125,-66265.914,-20549.928,23456.178,-49225.953,-21739.258,-25344.2,-39021.85
968956.8276803114,-80705.125,-66266.69,-20549.357,23454.428,-49226.074,-21741.008,-25339.111,-39020.47
968956.831680308,-80703.58,-66260.22,-20545.94,23477.05,-49208.945,-21742.393,-25335.775,-39009.035
968956.8356803047,-80701.664,-66256.836,-20540.936,23509.36,-49204.348,-21747.438,-25341.676,-39015.055
968956.8396803013,-80706.18,-66260.336,-20542.807,23490.072,-49215.332,-21752.686,-25349.65,-39021.73
968956.843680298,-80705.53,-66255.58,-20546.55,23454.307,-49223.43,-21754.844,-25354.453,-39031.25
968956.8476802947,-80710.086,-66258.22,-20550.578,23456.34,-49220.46,-21751.914,-25355.062,-39030.113
968956.8516802912,-80714.89,-66264.33,-20552.205,23486.98,-49215.457,-21747.396,-25359.66,-39042.848
968956.8556802879,-80714.97,-66265.305,-20550.578,23510.703,-49211.59,-21743.205,-25360.271,-39046.55
968956.8596802846,-80715.09,-66265.71,-20548.504,23491.863,-49219.523,-21740.805,-25358.115,-39039.88
968956.8636802812,-80720.26,-66266.28,-20551.393,23447.021,-49230.633,-21741.293,-25356.975,-39034.06
968956.8676802779,-80723.72,-66267.26,-20551.84,23440.39,-49229.29,-21742.432,-25358.115,-39035.523
968956.8716802745,-80725.95,-66273.48,-20548.584,23470.338,-49220.094,-21744.223,-25359.375,-39043.336
968956.8756802712,-80723.59,-66272.26,-20549.684,23497.479,-49214.355,-21747.396,-25359.986,-39042.727
968956.8796802679,-80721.516,-66271.734,-20546.834,23480.348,-49224.977,-21750.367,-25356.08,-39029.664
968956.8836802645,-80724.49,-66268.15,-20547.322,23427.898,-49239.746,-21750.408,-25349.285,-39022.055
968956.8876802612,-80720.3,-66262.086,-20550.049,23443.809,-49237.715,-21747.193,-25349.488,-39029.38
968956.8916802579,-80715.7,-66262.984,-20548.463,23482.057,-49226.277,-21740.357,-25349.162,-39031.332
968956.8956802544,-80718.75,-66268.39,-20548.34,23505.371,-49213.867,-21737.549,-25356.324,-39057.984
968956.8996802511,-80725.586,-66271.94,-20552.898,23498.008,-49221.19,-21736.816,-25358.36,-39053.63
968956.9036802478,-80727.22,-66272.09,-20558.309,23458.822,-49234.62,-21736.37,-25358.766,-39048.953
968956.9076802444,-80727.945,-66270.71,-20560.588,23442.791,-49233.6,-21735.922,-25355.795,-39036.133
968956.9116802411,-80724.33,-66269.086,-20554.2,23478.8,-49218.832,-21735.19,-25353.76,-39029.5
968956.9156802377,-80714.97,-66261.03,-20546.143,23501.67,-49211.223,-21737.916,-25354.818,-39049.723
968956.9196802344,-80716.11,-66259.195,-20546.428,23475.586,-49213.664,-21742.188,-25351.238,-39036.54
968956.9236802311,-80712.73,-66253.625,-20547.73,23442.344,-49225.586,-21743.857,-25347.78,-39026.855
968956.9276802277,-80703.375,-66246.055,-20546.957,23450.684,-49219.81,-21742.637,-25346.232,-39019.656
968956.9316802244,-80702.48,-66250.98,-20545.492,23490.357,-49202.19,-21740.113,-25346.762,-39021.688
968956.9356802211,-80706.46,-66259.65,-20543.58,23510.498,-49198.285,-21738.404,-25349.854,-39024.008
968956.9396802176,-80717.0,-66264.08,-20545.41,23479.33,-49211.02,-21737.428,-25349.0,-39017.78
968956.9436802143,-80738.24,-66277.51,-20553.752,23431.479,-49229.695,-21735.8,-25347.332,-39023.844
968956.947680211,-80726.24,-66272.3,-20550.09,23424.928,-49232.625,-21734.416,-25345.947,-39022.3
968956.9516802076,-80698.695,-66246.83,-20540.04,23475.18,-49217.246,-21736.533,-25345.215,-39010.38
968956.9556802043,-80713.55,-66257.695,-20540.771,23511.312,-49218.184,-21739.219,-25347.25,-39018.23
968956.9596802009,-80719.08,-66266.97,-20542.277,23496.338,-49220.418,-21739.828,-25350.18,-39021.402
968956.9636801976,-80720.87,-66270.266,-20544.19,23458.945,-49231.04,-21740.154,-25351.318,-39021.445
968956.9676801943,-80728.56,-66278.69,-20544.8,23449.871,-49229.492,-21740.52,-25353.477,-39033.082
968956.9716801909,-80729.54,-66281.13,-20544.76,23484.457,-49212.934,-21737.549,-25354.004,-39037.312
968956.9756801876,-80735.72,-66283.164,-20545.736,23505.006,-49200.766,-21735.107,-25354.777,-39035.32
968956.9796801843,-80741.664,-66282.555,-20550.496,23489.219,-49212.527,-21736.004,-25358.318,-39040.61
968956.9836801809,-80744.43,-66281.29,-20554.852,23446.371,-49231.49,-21735.271,-25357.3,-39051.15
968956.9876801776,-80746.18,-66283.41,-20556.072,23447.389,-49231.406,-21736.777,-25358.277,-39048.91
968956.9916801743,-80745.73,-66287.48,-20553.06,23479.371,-49218.426,-21735.148,-25358.604,-39050.09
968956.9956801708,-80746.3,-66292.28,-20547.934,23501.182,-49218.832,-21732.871,-25357.992,-39052.125
968956.9996801675,-80750.66,-66291.914,-20550.74,23467.367,-49230.43,-21733.521,-25360.719,-39040.934
968957.0036801641,-80756.92,-66292.08,-20553.346,23431.438,-49236.9,-21735.23,-25367.717,-39052.086
968957.0076801608,-80761.07,-66296.836,-20554.973,23444.824,-49241.05,-21734.172,-25368.408,-39063.965
968957.0116801575,-80765.22,-66302.984,-20559.773,23487.428,-49231.324,-21730.918,-25363.242,-39048.668
968957.0156801541,-80768.92,-66306.56,-20557.455,23503.338,-49222.496,-21728.15,-25362.143,-39047.73
968957.0196801508,-80771.08,-66308.68,-20554.322,23469.932,-49227.62,-21728.8,-25364.34,-39060.914
968957.0236801475,-80771.484,-66308.31,-20559.734,23420.94,-49237.508,-21731.445,-25366.863,-39060.508
968957.0276801441,-80776.82,-66311.36,-20561.076,23420.248,-49247.355,-21730.225,-25368.938,-39069.176
968957.0316801408,-80773.44,-66313.73,-20558.105,23454.63,-49240.113,-21731.04,-25372.07,-39069.133
968957.0356801375,-80776.37,-66317.38,-20557.496,23483.928,-49234.254,-21733.48,-25374.635,-39069.254
968957.039680134,-80782.35,-66319.5,-20559.734,23467.041,-49235.555,-21734.498,-25372.844,-39059.773
968957.0436801307,-80788.78,-66316.49,-20563.436,23440.635,-49239.83,-21735.352,-25367.514,-39035.28
968957.0476801273,-80785.12,-66318.12,-20562.459,23449.748,-49235.555,-21731.895,-25363.037,-39045.9
968957.051680124,-80781.21,-66320.64,-20558.879,23476.441,-49227.176,-21729.004,-25363.852,-39073.934
968957.0556801207,-80783.41,-66318.81,-20558.188,23488.486,-49222.58,-21728.477,-25363.201,-39065.188
968957.0596801173,-80784.55,-66314.74,-20558.188,23458.252,-49240.4,-21727.58,-25363.445,-39056.844
968957.063680114,-80781.21,-66314.58,-20554.525,23423.096,-49249.39,-21725.547,-25360.922,-39049.645
968957.0676801107,-80774.78,-66309.94,-20547.322,23434.082,-49238.12,-21725.506,-25357.83,-39044.516
968957.0716801073,-80775.11,-66309.94,-20547.975,23476.074,-49217.125,-21728.395,-25364.87,-39047.61
968957.075680104,-80774.09,-66310.43,-20547.486,23510.377,-49209.35,-21728.965,-25370.158,-39057.496
968957.0796801007,-80779.34,-66316.125,-20549.602,23488.281,-49216.51,-21727.783,-25371.46,-39054.934
968957.0836800972,-80777.43,-66313.73,-20551.922,23445.965,-49228.844,-21727.256,-25368.734,-39049.93
968957.087680094,-80775.72,-66308.35,-20552.125,23439.373,-49218.832,-21724.732,-25362.143,-39029.95
