timestamp,Fp1,Fp2,F3,Fz,F4,Cz,Pz,Oz
1318412.6089332153,-102020.1,-99776.125,-20167.645,-17714.152,-18828.166,-32927.004,-17256.836,10799.113
1318412.6129332096,-102020.63,-99776.49,-20165.895,-17715.535,-18829.225,-32929.16,-17258.545,10797.282
1318412.616933204,-102009.89,-99766.6,-20160.564,-17711.305,-18822.836,-32927.41,-17258.545,10799.887
1318412.6209331984,-102000.82,-99757.125,-20157.309,-17707.967,-18816.082,-32926.473,-17256.307,10803.345
1318412.6249331927,-102003.055,-99763.35,-20159.547,-17709.025,-18819.662,-32926.96,-17254.395,10801.758
1318412.628933187,-102019.01,-99775.64,-20165.162,-17713.094,-18827.352,-32928.793,-17254.598,10793.986
1318412.6329331815,-102032.59,-99781.375,-20166.424,-17716.35,-18828.045,-32930.094,-17255.168,10794.597
1318412.6369331758,-102021.33,-99771.98,-20158.488,-17711.996,-18818.562,-32928.71,-17256.145,10795.939
1318412.6409331702,-102006.48,-99764.9,-20153.28,-17708.21,-18814.576,-32928.55,-17256.836,10796.306
1318412.6449331646,-102006.92,-99770.06,-20155.396,-17709.84,-18819.865,-32928.914,-17256.43,10794.312
1318412.648933159,-102016.56,-99775.64,-20163.086,-17714.275,-18825.521,-32931.277,-17256.186,10790.894
1318412.6529331533,-102022.664,-99775.92,-20166.912,-17715.617,-18829.184,-32932.7,-17259.115,10789.836
1318412.6569331477,-102019.53,-99769.695,-20166.871,-17713.543,-18825.115,-32933.473,-17260.133,10796.143
1318412.660933142,-102006.02,-99765.14,-20161.906,-17707.764,-18812.664,-32932.047,-17260.092,10800.415
1318412.6649331364,-102001.43,-99766.89,-20161.174,-17707.764,-18812.703,-32934.0,-17256.633,10800.293
1318412.6689331308,-102016.28,-99774.87,-20166.057,-17714.314,-18823.69,-32935.223,-17254.883,10796.753
1318412.6729331252,-102023.6,-99780.32,-20167.562,-17715.496,-18829.834,-32936.77,-17258.545,10791.667
1318412.6769331195,-102017.54,-99776.05,-20165.242,-17712.158,-18829.834,-32938.316,-17260.945,10792.318
1318412.680933114,-102005.66,-99769.375,-20160.645,-17706.666,-18826.863,-32939.13,-17259.889,10796.875
1318412.6849331083,-102006.59,-99773.12,-20163.25,-17708.822,-18827.393,-32940.348,-17259.074,10794.841
1318412.6889331026,-102023.805,-99784.914,-20170.451,-17715.902,-18832.887,-32942.547,-17259.318,10792.074
1318412.692933097,-102029.26,-99786.13,-20169.678,-17718.1,-18832.764,-32942.71,-17255.006,10795.98
1318412.6969330914,-102017.055,-99776.21,-20165.447,-17715.496,-18828.248,-32941.977,-17256.348,10801.433
1318412.7009330858,-102003.75,-99769.53,-20163.453,-17711.06,-18827.19,-32942.586,-17259.48,10802.165
1318412.7049330801,-102007.0,-99774.055,-20166.992,-17713.95,-18830.934,-32943.81,-17260.377,10796.143
1318412.7089330745,-102023.766,-99783.9,-20170.125,-17717.244,-18835.246,-32944.418,-17259.115,10792.5625
1318412.7129330689,-102033.734,-99789.96,-20172.893,-17718.506,-18837.158,-32946.74,-17262.248,10788.9
